Image_Key,Filename,Rating,Chainage,Latitude,Longitude
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.000 1.JPG,N04D226C    0.000 1.JPG,3,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.010 1.JPG,N04D226C    0.010 1.JPG,3,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.015 1.JPG,N04D226C    0.015 1.JPG,3,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.020 1.JPG,N04D226C    0.020 1.JPG,3,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.025 1.JPG,N04D226C    0.025 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.030 1.JPG,N04D226C    0.030 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.035 1.JPG,N04D226C    0.035 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.040 1.JPG,N04D226C    0.040 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.045 1.JPG,N04D226C    0.045 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.050 1.JPG,N04D226C    0.050 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.055 1.JPG,N04D226C    0.055 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.060 1.JPG,N04D226C    0.060 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.065 1.JPG,N04D226C    0.065 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.070 1.JPG,N04D226C    0.070 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.075 1.JPG,N04D226C    0.075 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.080 1.JPG,N04D226C    0.080 1.JPG,4,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.085 1.JPG,N04D226C    0.085 1.JPG,2,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.090 1.JPG,N04D226C    0.090 1.JPG,2,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.095 1.JPG,N04D226C    0.095 1.JPG,2,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.100 1.JPG,N04D226C    0.100 1.JPG,2,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.105 1.JPG,N04D226C    0.105 1.JPG,2,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.110 1.JPG,N04D226C    0.110 1.JPG,2,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.115 1.JPG,N04D226C    0.115 1.JPG,2,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.120 1.JPG,N04D226C    0.120 1.JPG,2,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.125 1.JPG,N04D226C    0.125 1.JPG,2,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.130 1.JPG,N04D226C    0.130 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.135 1.JPG,N04D226C    0.135 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.140 1.JPG,N04D226C    0.140 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.145 1.JPG,N04D226C    0.145 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.150 1.JPG,N04D226C    0.150 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.155 1.JPG,N04D226C    0.155 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.160 1.JPG,N04D226C    0.160 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.165 1.JPG,N04D226C    0.165 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.170 1.JPG,N04D226C    0.170 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.175 1.JPG,N04D226C    0.175 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.180 1.JPG,N04D226C    0.180 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.185 1.JPG,N04D226C    0.185 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.190 1.JPG,N04D226C    0.190 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.195 1.JPG,N04D226C    0.195 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.200 1.JPG,N04D226C    0.200 1.JPG,7,,,
2026/RSP TII Network Survey Imagery 2026/WE20260606/N04D226C/N04D226C_ROW/N04D226C    0.205 1.JPG,N04D226C    0.205 1.JPG,7,,,
